author,title,url
Maurice Leblanc,"The Extraordinary Adventures of Arsene Lupin, Gentleman-Burglar",https://gutenberg.org/ebooks/6133.txt.utf-8
Maurice Leblanc,Arsene Lupin,https://gutenberg.org/ebooks/4014.txt.utf-8
Maurice Leblanc,"Arsene Lupin, super-sleuth",https://gutenberg.org/ebooks/74269.txt.utf-8
Maurice Leblanc,The Blonde Lady,https://gutenberg.org/ebooks/24839.txt.utf-8
Agatha Christie,The Murder of Roger Ackroyd,https://gutenberg.org/ebooks/69087.txt.utf-8
Agatha Christie,The Mysterious Affair at Styles,https://gutenberg.org/ebooks/863.txt.utf-8
Agatha Christie,Poirot Investigates,https://gutenberg.org/ebooks/61262.txt.utf-8
Agatha Christie,The Murder on the Links,https://gutenberg.org/ebooks/58866.txt.utf-8
G.K. Chesterton,The Man Who Was Thursday: A Nightmare,https://gutenberg.org/cache/epub/1695/pg1695.txt
G.K. Chesterton,The Innocence of Father Brown,https://gutenberg.org/ebooks/204.txt.utf-8
G.K. Chesterton,The Wisdom of Father Brown,https://gutenberg.org/ebooks/223.txt.utf-8
G.K. Chesterton,The Man Who Knew Too Much,https://gutenberg.org/ebooks/1720.txt.utf-8
Sir Arthur Conan Doyle,The Adventures of Sherlock Holmes,https://gutenberg.org/ebooks/1661.txt.utf-8
Sir Arthur Conan Doyle,A Study in Scarlet,https://gutenberg.org/ebooks/244.txt.utf-8
Sir Arthur Conan Doyle,The Hound of the Baskervilles,https://gutenberg.org/ebooks/2852.txt.utf-8
Sir Arthur Conan Doyle,The Sign of the Four,https://gutenberg.org/ebooks/2097.txt.utf-8
