title,author,pg_code,author_id,book_id
The Declaration of Independence of the United States of America,"Jefferson, Thomas",1,9169,0
The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States,United States,2,17603,0
John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",3,9626,0
"Lincoln's Gettysburg Address: Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham",4,10542,0
The United States Constitution,United States,5,17603,1
Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",8,10542,1
Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",9,10542,2
Through the Looking-Glass,"Carroll, Lewis",12,2985,0
The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",13,2985,1
The 1990 CIA World Factbook,United States. Central Intelligence Agency,14,17623,0
"Moby-Dick; or, The Whale","Melville, Herman",15,11872,0
Peter Pan,"Barrie, J. M. (James Matthew)",16,1061,0
"The Book of Mormon : $b an account written by the hand of Mormon, upon plates taken from the plates of Nephi","Smith, Joseph, Jr.",17,16092,0
The Federalist Papers,"Hamilton, Alexander",18,7535,0
The Song of Hiawatha,"Longfellow, Henry Wadsworth",19,10703,0
Paradise Lost,"Milton, John",20,12100,0
Aesop's Fables: Translated by George Fyler Townsend,Aesop,21,157,0
Roget's Thesaurus,"Roget, Peter Mark",22,14862,0
"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",23,5005,0
O Pioneers!,"Cather, Willa",24,3063,0
The 1991 CIA World Factbook,United States. Central Intelligence Agency,25,17623,1
Paradise Lost,"Milton, John",26,12100,1
Far from the Madding Crowd,"Hardy, Thomas",27,7651,0
"The Fables of Aesop: Selected, Told Anew, and Their History Traced",Aesop,28,157,1
The 1990 United States Census,United States. Bureau of the Census,29,17622,0
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,31,16218,0
Herland,"Gilman, Charlotte Perkins",32,6774,0
The Scarlet Letter,"Hawthorne, Nathaniel",33,7901,0
The Time Machine,"Wells, H. G. (Herbert George)",35,18387,0
The War of the Worlds,"Wells, H. G. (Herbert George)",36,18387,1
The 1990 United States Census [2nd],United States. Bureau of the Census,37,17622,1
The Legend of Sleepy Hollow,"Irving, Washington",41,9003,0
The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",42,16557,0
The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",43,16557,1
The Song of the Lark,"Cather, Willa",44,3063,1
Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",45,12236,0
A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",46,4793,0
